Object ID,Stop ID,Stop Code,Stop Name,Stop Description,Zone ID,Stop URL,Location Type,Parent Station,Stop Time Zone,Wheelchair Boarding,Stop Latitude,Stop Longitude,x,y
102,00001315,1121,Steeles Ave E e/of Resolution Dr,,,,0,,,1,43.678405,-79.719987,-8874388.35888638,5415808.74917509
103,00001320,1122,Steeles Ave e/of Kennedy Rd,,,,0,,,1,43.676125,-79.722478,-8874665.65573795,5415457.81724811
104,00001340,1124,Steeles Ave E at Orchard Dr,,,,0,,,1,43.673526,-79.725254,-8874974.67864439,5415057.80189727
105,00001345,1125,Fletchers Creek Blvd at Gold Hill Rd,,,,0,,,1,43.689387,-79.801253,-8883434.84862519,5417499.2581245
106,00001350,1126,Steeles Ave E at 152 Steeles Ave,,,,0,,,1,43.670919,-79.728094,-8875290.82599824,5414656.57265993
107,00001430,1130,Steeles Ave W at Tait Blvd,,,,0,,,1,43.653912,-79.746827,-8877376.17401927,5412039.54506822
108,00001440,1131,Steeles Ave W at Beaconsfield walkway,,,,0,,,1,43.649108,-79.752183,-8877972.40121196,5411300.44250349
109,00001450,1132,Steeles Ave W at Chinguacousy Rd,,,,0,,,1,43.647359,-79.754150,-8878191.36665036,5411031.37092405
110,00001460,1133,Steeles Ave W w/of James Potter Dr,,,,0,,,1,43.643963,-79.757787,-8878596.23563837,5410508.94213538
111,00001465,1134,Steeles Ave W at Polonia Ave,,,,0,,,1,43.642083,-79.759987,-8878841.13851812,5410219.74219619
112,00001470,1135,Steeles Ave at Churchville Rd,,,,0,,,1,43.640358,-79.761767,-8879039.28721173,5409954.39383029
113,00001490,1137,Steeles Ave W e/of Financial Dr,,,,0,,,1,43.633746,-79.769172,-8879863.60804105,5408937.37256633
114,00001500,1138,Financial - Zum Steeles Station Stop WB,,,,0,,,1,43.631767,-79.771344,-8880105.39397505,5408632.99549199
115,00001508,3690,Mississauga Road - Zum Steeles Station Stop WB,,,,0,place_MIST-W,,1,43.626831,-79.776880,-8880721.65867608,5407873.86521795
116,00001510,1139,Mississauga Rd s/of Steeles Ave,,,,0,,,1,43.626788,-79.775535,-8880571.93396097,5407867.25232293
117,00001520,1140,Mississauga Rd n/of Edgeware Rd,,,,0,,,1,43.623434,-79.771047,-8880072.33208629,5407351.4610855
118,00001530,1141,Hereford St w/of Mississauga Rd,,,,0,,,1,43.620547,-79.768579,-8879797.59558301,5406907.50997937
119,00001540,1142,Hereford St s/of Ironbridge Rd,,,,0,,,1,43.618516,-79.767462,-8879673.2517118,5406595.2038417
120,00001550,1143,Hereford St w/of President's Choice Cir (Loblaws),,,,0,,,1,43.617118,-79.768241,-8879759.96959513,5406380.24001548
121,00001560,1144,Hereford St btwn President's Choice Cir & Edgeware,,,,0,,,1,43.615558,-79.771769,-8880152.70475864,5406140.37211795
122,00001570,1145,Hereford St n/of Edgeware Rd,,,,0,,,1,43.619017,-79.776526,-8880682.25157635,5406672.24145086
123,00001575,3622,Hereford St btwn Edgeware Rd & Steeles Ave,,,,0,,,0,43.620511,-79.778551,-8880907.6735452,5406901.97418051
124,00001640,1148,Kensington Rd e/of Central Park Dr,,,,0,,,1,43.720217,-79.719842,-8874372.21756022,5422246.71441388
125,00001650,1149,Kensington Rd at Kingscross Rd,,,,0,,,1,43.721160,-79.718790,-8874255.1094559,5422391.96378236
126,00001660,1150,Kensington Rd opp Bramalea Medical Centre,,,,0,,,1,43.722037,-79.717277,-8874086.68306634,5422527.04928711
127,00001670,1151,Kensington Rd at Bramalea Rd,,,,0,,,1,43.722824,-79.715934,-8873937.1809902,5422648.27365273
128,00001680,1152,Bramalea Rd at Knightsbridge Rd - Rte 12 ONLY,,,,0,,,1,43.721791,-79.714060,-8873728.56826445,5422489.15737244
129,00001720,1153,Finchgate Blvd at Feston Place,,,,0,,,1,43.726267,-79.709158,-8873182.88012058,5423178.62972196
130,00001730,1154,Finchgate Blvd at Queen St E,,,,0,,,1,43.727544,-79.712249,-8873526.96866663,5423375.34519772
131,00001740,1155,Glenvale Blvd s/of Gatwick Lane,,,,0,,,1,43.729168,-79.714538,-8873781.77898105,5423625.52034954
132,00001750,1156,Glenvale Blvd n/of Greenmount Rd,,,,0,,,1,43.730592,-79.715682,-8873909.12847852,5423844.89133525
133,00001760,1157,Glenvale Blvd at Geraldine Crt,,,,0,,,1,43.732950,-79.716623,-8874013.88011936,5424208.15897349
134,00001770,1158,Central Park Dr btwn Glenvale Blvd and Graham Crt,,,,0,,,1,43.733973,-79.718300,-8874200.56290541,5424365.76426781
135,00001780,1159,Grenoble Blvd at Central Park Dr,,,,0,,,1,43.733251,-79.720908,-8874490.8841374,5424254.53131721
136,00001790,1160,Grenoble Blvd at Glencastle Square,,,,0,,,1,43.734688,-79.721558,-8874563.24180642,5424475.92010423
137,00001800,1161,Grenoble Blvd at Gladstone Square,,,,0,,,1,43.736173,-79.721539,-8874561.1267361,5424704.70950556
138,00001810,1162,Grenoble Blvd at Greenbriar Rd,,,,0,,,1,43.737422,-79.722803,-8874701.83457246,5424897.14350271
139,00001815,1163,Grenoble Blvd at Williams Pky E,,,,0,,,1,43.738502,-79.724933,-8874938.94508785,5425063.54282919
140,00001840,1165,Jordan Blvd at Joshua Crt,,,,0,,,1,43.742081,-79.728894,-8875379.88159088,5425614.99316301
141,00001850,1166,Jordan Blvd at Jameson Cres,,,,0,,,1,43.743762,-79.730125,-8875516.91588405,5425874.0120882
142,00001860,1167,Jordan Blvd s/of North Park Dr,,,,0,,,1,43.744451,-79.731592,-8875680.22157704,5425980.1795909
143,00001870,1168,North Park Dr at Jayfield Rd,,,,0,,,1,43.746387,-79.729903,-8875492.20295709,5426278.50294622
144,00001880,1169,North Park Dr opp Panda Lane,,,,0,,,1,43.748289,-79.727588,-8875234.49833591,5426571.59654766
145,00001890,1170,Torbram Rd at Blue Diamond Dr,,,,0,,,1,43.751976,-79.730465,-8875554.76451092,5427139.78086047
146,00001910,1172,Torbram Rd n/of Bovaird Dr E,,,,0,,,1,43.755108,-79.734617,-8876016.96303669,5427622.46451929
147,00001920,1173,Torbram Rd s/of Peter Robertson Blvd,,,,0,,,1,43.756344,-79.736365,-8876211.5495066,5427812.95582705
148,00001930,1174,Torbram Rd n/of Peter Robertson Blvd,,,,0,,,1,43.758859,-79.739807,-8876594.71119391,5428200.57771644
149,00001935,1175,Torbram Rd btwn Peter Robertson Blvd & Steeplebush,,,,0,,,1,43.760476,-79.741966,-8876835.04997453,5428449.80484871
150,00001940,1176,Torbram Rd at Eagleridge Rd,,,,0,,,1,43.761420,-79.743165,-8876968.52204399,5428595.30605353
151,00001945,1177,Torbram Rd btwn Eagleridge Dr & Sandalwood Pky E,,,,0,,,1,43.763159,-79.745545,-8877233.46243208,5428863.34871116
152,00002005,1181,Mountainberry Rd at Mount Ranier Cres,,,,0,,,0,43.761116,-79.729791,-8875479.73517412,5428548.44948272
153,00002010,1182,Mountainberry Rd w/of Mount Rainer Cres (W),,,,0,,,1,43.761667,-79.727030,-8875172.38206004,5428633.37719262
154,00002020,1183,Mountainberry Rd e/of Mount Rainer Cres (E),,,,0,,,1,43.763403,-79.725754,-8875030.33838979,5428900.95854003
155,00002030,1184,Mountainberry Rd at Snow Leopard Crt (S),,,,0,,,0,43.764776,-79.726992,-8875168.15191939,5429112.59375692
156,00002040,1185,Mountainberry Rd n/of Black Hills Crt,,,,0,,,1,43.766260,-79.728590,-8875346.04046568,5429341.34405681
157,00002050,1186,Mountainberry Rd w/of Snow Leopard Crt (N),,,,0,,,1,43.766051,-79.731343,-8875652.50302383,5429309.12753243
158,00002060,1187,Mountainberry Rd at Cougar Crt,,,,0,,,1,43.764887,-79.732910,-8875826.9406659,5429129.70358974
159,00002070,1188,Mountainash Rd at Mountainberry Rd,,,,0,,,1,43.764283,-79.734604,-8876015.51588331,5429036.60182004
160,00002110,1192,Bovaird Dr E w/of Mountainash Rd,,,,0,,,1,43.757695,-79.730659,-8875576.36049213,5428021.17534156
161,00002120,1193,Torbram Rd at Bovaird Dr E,,,,0,,,1,43.754990,-79.734972,-8876056.48145592,5427604.27866168
162,00002125,1194,Torbram Rd s/of Bovaird Dr E,,,,0,,,1,43.753672,-79.733189,-8875857.99880384,5427401.15431628
163,00002130,1195,Torbram Rd at Prospect Gate,,,,0,,,1,43.752113,-79.731090,-8875624.33919266,5427160.89388938
164,00002140,1196,Torbram Rd at North Park Dr,,,,0,,,1,43.749453,-79.727497,-8875224.36826224,5426750.97072737
165,00002150,1197,North Park Dr at Panda Lane,,,,0,,,1,43.748349,-79.727831,-8875261.54897217,5426580.84255413
166,00002160,1198,North Park Dr at Provincial Place,,,,0,,,1,43.746818,-79.729722,-8875472.05412926,5426344.91818809
167,00002165,1199,North Park Dr btwn Provincial Pl & Jamieson Cres,,,,0,,,1,43.745504,-79.731306,-8875648.38420267,5426142.43794643
168,00002170,1200,Jordan Blvd at North Park Dr,,,,0,,,1,43.744323,-79.731737,-8875696.3629032,5425960.45607273
169,00002180,1201,Jordan Blvd at Joyce Gate,,,,0,,,1,43.742980,-79.729590,-8875457.35995647,5425753.51576438
170,00002190,1202,Jordan Blvd at Jefferson Rd,,,,0,,,1,43.740184,-79.727563,-8875231.71534863,5425322.70035011
171,00002210,1204,Grenoble Blvd at Glenforest Rd,,,,0,,,1,43.737453,-79.723225,-8874748.81139757,5424901.91973784
172,00002220,1205,Grenoble Blvd at Grasspoint Square,,,,0,,,1,43.735689,-79.721710,-8874580.16236902,5424630.14048484
173,00002230,1206,Grenoble Blvd n/of Central park Dr,,,,0,,,1,43.733640,-79.721452,-8874551.4419404,5424314.46136912
174,00002240,1207,Central Park Dr e/of Greenarrow Crt,,,,0,,,1,43.733560,-79.718835,-8874260.11883299,5424302.13639092
175,00002250,1208,Glenvale Blvd s/of Geraldine Crt,,,,0,,,1,43.732319,-79.716713,-8874023.89887353,5424110.94727514
176,00002260,1209,Glenvale Blvd at Goldcrest Rd,,,,0,,,1,43.730373,-79.715764,-8873918.25667677,5423811.15346365
177,00002270,1210,Glenvale Blvd at Gatwick Rd,,,,0,,,0,43.729264,-79.714876,-8873819.40496894,5423640.3092408
178,00002280,1211,Finchgate Blvd s/of Queen St E,,,,0,,,1,43.727643,-79.712759,-8873583.74160693,5423390.59582872
179,00002290,1212,Finchgate Blvd n/of Clark Blvd,,,,0,,,1,43.726047,-79.708940,-8873158.61247159,5423144.74024358
180,00002350,1214,Kensington Rd w/of Bramalea Rd,,,,0,,,1,43.722391,-79.716940,-8874049.16839794,5422581.57694957
181,00002360,1215,Kensington Rd at Kings Cross Rd,,,,0,,,1,43.721741,-79.718392,-8874210.80429857,5422481.45578279
182,00002370,1216,Kensington Rd at Central Park Dr,,,,0,,,1,43.720630,-79.719729,-8874359.63845776,5422310.32811891
183,00002390,1218,Central Park Dr at Knightsbridge Rd,,,,0,,,1,43.718001,-79.717910,-8874157.14830401,5421905.39509747
184,00002410,3540,Knightsbridge Rd w/of Central Park Drive,,,,0,,,1,43.717559,-79.717953,-8874161.93504211,5421837.31757414
185,00002430,1220,Bramalea Rd n/of Steeles Ave E,,,,0,,,1,43.705553,-79.691834,-8871254.38126208,5419988.32693282
186,00002450,1222,Bramalea Rd at East Dr,,,,0,,,1,43.706748,-79.693537,-8871443.9583549,5420172.34696838
187,00002460,1223,Bramalea Rd n/of East Dr,,,,0,,,1,43.707983,-79.695182,-8871627.07891726,5420362.53052527
188,00002470,1224,Avondale Blvd at Autumn Blvd,,,,0,,,1,43.708570,-79.697173,-8871848.71602343,5420452.92683671
189,00002475,1225,Avondale Blvd at Avondale Plaza,,,,0,,,1,43.707183,-79.698752,-8872024.48949939,5420239.33425192
190,00002490,1226,Avondale Blvd at Aloma Cres (E),,,,0,,,0,43.706378,-79.700401,-8872208.05533971,5420115.36966151
191,00002500,1227,Avondale Blvd w/of Aloma Cres (W),,,,0,,,0,43.704543,-79.701700,-8872352.65935825,5419832.79821515
192,00002510,1228,Avondale Blvd w/of Athlone Ave (S),,,,0,,,0,43.704276,-79.703224,-8872522.31026222,5419791.68363563
193,00002540,1230,Dixie Rd s/of Clark Blvd,,,,0,,,1,43.710095,-79.722081,-8874621.4619001,5420687.7765875
194,00002550,1231,Dixie Rd at Terese Rd,,,,0,,,1,43.708166,-79.719470,-8874330.80670964,5420390.71190388
195,00002560,1232,Balmoral Dr e/of Dixie Rd,,,,0,,,1,43.706570,-79.715128,-8873847.45748062,5420144.93622009
196,00002570,1233,Balmoral Dr at Braemar Dr,,,,0,,,1,43.707841,-79.714173,-8873741.14736691,5420340.66306672
197,00002580,1234,Balmoral Dr opp Brookland Dr,,,,0,,,1,43.709092,-79.712638,-8873570.27194855,5420533.31407879
198,00002590,1235,Avondale Blvd s/of Balmoral Dr,,,,0,,,1,43.709881,-79.710584,-8873341.62171446,5420654.82026205
199,00002600,1236,Avondale Blvd at Brentwood Dr,,,,0,,,1,43.707065,-79.709094,-8873175.75567317,5420221.16294075
200,00002610,1237,Avondale Blvd at Birchbank Rd,,,,0,,,1,43.704562,-79.706009,-8872832.33504407,5419835.72397873
201,00002620,1238,Avondale Blvd at 135 Avondale Blvd,,,,0,,,0,43.704011,-79.703916,-8872599.34334984,5419750.87721155
202,00002630,1239,Avondale Blvd opp Aloma Cres (W),,,,0,,,0,43.704967,-79.701073,-8872282.86203752,5419898.08915968
203,00002640,1240,Avondale Blvd at Victoria Park Arena,,,,0,,,1,43.706604,-79.699660,-8872125.56759703,5420150.17197471
204,00002650,1241,Avondale Blvd btwn Birchbank Rd & Athlone Ave,,,,0,,,0,43.704712,-79.705973,-8872828.32754241,5419858.82214476
205,00002660,1242,Avondale Blvd at Addington Cres,,,,0,,,1,43.706530,-79.708219,-8873078.35111873,5420138.77651258
206,00002670,1243,Avondale Blvd at Balmoral Dr,,,,0,,,1,43.710161,-79.710717,-8873356.42720673,5420697.94071161
207,00002680,1245,Balmoral Dr at Brookland Dr,,,,0,,,1,43.709477,-79.712381,-8873541.66283941,5420592.60396839
208,00002690,1246,Balmoral Dr e/of Braemar Dr,,,,0,,,1,43.708383,-79.713925,-8873713.54013319,5420424.12927854
209,00002700,1247,Balmoral Dr at Dixie Rd,,,,0,,,1,43.706145,-79.715847,-8873927.4961945,5420079.48953793
210,00002710,1248,Dixie Rd opp Terese Rd,,,,0,,,1,43.708141,-79.718870,-8874264.01501517,5420386.8619837
211,00002720,1249,Dixie Rd at Clark Blvd,,,,0,,,1,43.710581,-79.722202,-8874634.93155849,5420762.62176368
